Sex,Age,Passenger/Crew,Survived,Accompagné,Naufrage
M,48,Passenger,0,0,Estonia
F,49,Passenger,0,0,Estonia
F,5,Passenger,0,0,Estonia
M,50,Passenger,0,0,Estonia
M,24,Crew,1,0,Estonia
M,73,Passenger,0,0,Estonia
F,47,Passenger,0,0,Estonia
F,18,Crew,0,0,Estonia
F,43,Passenger,0,0,Estonia
F,61,Passenger,0,0,Estonia
M,53,Passenger,0,0,Estonia
M,48,Passenger,0,1,Estonia
M,23,Passenger,1,0,Estonia
F,46,Passenger,0,1,Estonia
M,68,Passenger,0,1,Estonia
F,66,Passenger,0,1,Estonia
M,24,Passenger,0,0,Estonia
M,22,Crew,0,0,Estonia
M,66,Passenger,0,0,Estonia
F,51,Passenger,0,0,Estonia
M,30,Passenger,0,0,Estonia
F,47,Passenger,0,0,Estonia
M,50,Passenger,0,0,Estonia
F,56,Passenger,0,0,Estonia
F,54,Passenger,0,0,Estonia
F,48,Passenger,0,0,Estonia
M,70,Passenger,0,0,Estonia
F,49,Passenger,0,0,Estonia
M,30,Passenger,0,0,Estonia
F,30,Passenger,0,0,Estonia
M,31,Passenger,0,0,Estonia
M,59,Passenger,0,0,Estonia
F,29,Passenger,0,0,Estonia
F,59,Passenger,0,1,Estonia
M,59,Passenger,0,1,Estonia
F,27,Crew,0,0,Estonia
M,46,Passenger,1,0,Estonia
F,78,Passenger,0,1,Estonia
M,71,Passenger,0,1,Estonia
F,69,Passenger,0,0,Estonia
F,57,Passenger,0,0,Estonia
M,19,Passenger,1,0,Estonia
M,52,Crew,0,0,Estonia
F,39,Crew,0,0,Estonia
F,30,Passenger,0,0,Estonia
M,45,Passenger,0,0,Estonia
M,44,Crew,0,0,Estonia
F,31,Crew,0,0,Estonia
F,55,Passenger,0,1,Estonia
M,56,Passenger,0,1,Estonia
F,54,Passenger,0,0,Estonia
M,70,Passenger,0,0,Estonia
F,67,Passenger,0,0,Estonia
M,25,Passenger,0,0,Estonia
M,24,Passenger,0,0,Estonia
M,57,Passenger,0,0,Estonia
M,63,Passenger,0,0,Estonia
F,16,Crew,0,0,Estonia
M,41,Passenger,0,0,Estonia
M,55,Passenger,0,0,Estonia
F,58,Passenger,0,0,Estonia
M,29,Crew,1,0,Estonia
F,34,Passenger,0,0,Estonia
F,55,Passenger,0,0,Estonia
M,70,Passenger,0,0,Estonia
F,44,Passenger,0,0,Estonia
F,41,Passenger,0,0,Estonia
F,47,Passenger,0,0,Estonia
M,25,Crew,0,0,Estonia
F,22,Crew,0,0,Estonia
F,18,Passenger,0,0,Estonia
M,23,Crew,0,0,Estonia
F,40,Passenger,0,0,Estonia
M,44,Passenger,0,0,Estonia
F,31,Passenger,0,0,Estonia
F,34,Crew,0,0,Estonia
M,23,Crew,1,0,Estonia
F,67,Passenger,0,0,Estonia
M,26,Passenger,1,0,Estonia
F,22,Crew,0,0,Estonia
M,26,Crew,0,0,Estonia
F,32,Crew,0,0,Estonia
M,64,Passenger,0,0,Estonia
F,48,Passenger,0,0,Estonia
F,31,Passenger,0,0,Estonia
M,78,Passenger,0,1,Estonia
M,72,Passenger,0,1,Estonia
F,51,Passenger,0,0,Estonia
M,52,Passenger,0,0,Estonia
M,52,Passenger,0,0,Estonia
M,37,Passenger,0,0,Estonia
M,69,Passenger,0,0,Estonia
F,23,Crew,0,0,Estonia
M,42,Crew,1,0,Estonia
F,22,Crew,1,0,Estonia
M,20,Passenger,0,0,Estonia
M,68,Passenger,0,0,Estonia
M,77,Passenger,0,0,Estonia
F,23,Crew,1,0,Estonia
F,36,Passenger,0,0,Estonia
F,38,Crew,0,0,Estonia
F,50,Crew,0,0,Estonia
M,41,Passenger,0,0,Estonia
F,38,Crew,0,0,Estonia
M,23,Passenger,0,0,Estonia
M,34,Passenger,1,1,Estonia
F,39,Passenger,0,1,Estonia
M,18,Passenger,0,0,Estonia
F,74,Passenger,0,1,Estonia
M,70,Passenger,0,1,Estonia
M,30,Passenger,0,1,Estonia
F,28,Passenger,0,1,Estonia
M,44,Passenger,0,1,Estonia
M,44,Passenger,0,1,Estonia
F,58,Passenger,0,1,Estonia
M,57,Passenger,0,1,Estonia
M,22,Passenger,1,1,Estonia
F,25,Crew,0,0,Estonia
M,42,Passenger,0,0,Estonia
M,58,Passenger,0,0,Estonia
F,71,Passenger,0,0,Estonia
F,64,Passenger,0,0,Estonia
F,18,Passenger,0,0,Estonia
M,55,Passenger,0,0,Estonia
F,25,Passenger,0,0,Estonia
F,51,Passenger,0,0,Estonia
M,56,Passenger,0,0,Estonia
F,53,Passenger,0,0,Estonia
F,51,Passenger,0,0,Estonia
F,48,Passenger,0,0,Estonia
F,39,Crew,0,0,Estonia
M,71,Passenger,0,0,Estonia
F,56,Passenger,0,0,Estonia
M,72,Passenger,0,0,Estonia
F,57,Passenger,0,0,Estonia
F,46,Passenger,0,0,Estonia
M,18,Passenger,0,0,Estonia
M,30,Passenger,0,0,Estonia
F,41,Crew,0,0,Estonia
M,50,Passenger,0,0,Estonia
M,23,Crew,1,0,Estonia
M,65,Passenger,0,0,Estonia
F,63,Passenger,0,0,Estonia
M,41,Passenger,0,0,Estonia
F,59,Passenger,0,0,Estonia
M,62,Passenger,0,0,Estonia
M,47,Passenger,0,0,Estonia
F,39,Passenger,0,0,Estonia
F,58,Passenger,0,0,Estonia
M,70,Passenger,0,0,Estonia
F,25,Crew,1,0,Estonia
M,60,Passenger,0,0,Estonia
M,48,Passenger,0,0,Estonia
F,42,Passenger,0,1,Estonia
M,41,Passenger,0,1,Estonia
F,30,Crew,0,0,Estonia
M,29,Passenger,0,0,Estonia
M,47,Crew,1,0,Estonia
F,19,Crew,0,0,Estonia
M,43,Passenger,0,0,Estonia
F,61,Passenger,0,1,Estonia
M,63,Passenger,1,1,Estonia
M,30,Passenger,0,0,Estonia
M,28,Passenger,0,0,Estonia
F,33,Crew,0,0,Estonia
M,24,Crew,0,0,Estonia
F,31,Crew,0,0,Estonia
M,61,Passenger,0,0,Estonia
M,31,Passenger,0,0,Estonia
F,38,Passenger,1,0,Estonia
M,18,Passenger,0,1,Estonia
M,10,Passenger,0,1,Estonia
F,44,Passenger,0,0,Estonia
M,50,Passenger,0,1,Estonia
M,54,Passenger,0,1,Estonia
M,37,Passenger,1,1,Estonia
M,10,Passenger,0,1,Estonia
M,34,Passenger,0,1,Estonia
F,37,Passenger,0,0,Estonia
F,67,Passenger,0,0,Estonia
M,6,Passenger,0,0,Estonia
F,29,Passenger,0,0,Estonia
M,24,Crew,0,0,Estonia
F,63,Passenger,0,1,Estonia
F,50,Passenger,0,1,Estonia
M,43,Passenger,0,0,Estonia
M,58,Passenger,0,1,Estonia
M,32,Passenger,0,0,Estonia
M,67,Passenger,0,1,Estonia
M,18,Crew,0,0,Estonia
M,39,Crew,0,0,Estonia
F,55,Passenger,0,0,Estonia
M,41,Crew,0,0,Estonia
F,45,Crew,0,0,Estonia
F,28,Crew,0,0,Estonia
M,27,Crew,0,0,Estonia
F,37,Crew,0,0,Estonia
M,34,Passenger,0,0,Estonia
M,58,Passenger,0,0,Estonia
M,22,Passenger,0,0,Estonia
M,32,Crew,0,0,Estonia
M,37,Passenger,0,0,Estonia
F,27,Crew,0,0,Estonia
M,37,Crew,1,0,Estonia
M,35,Passenger,0,0,Estonia
F,33,Crew,0,0,Estonia
M,22,Passenger,1,0,Estonia
M,47,Passenger,0,0,Estonia
M,26,Passenger,1,0,Estonia
F,25,Crew,0,0,Estonia
M,21,Passenger,0,0,Estonia
F,59,Passenger,0,0,Estonia
M,54,Passenger,0,0,Estonia
M,48,Passenger,0,0,Estonia
M,38,Passenger,1,0,Estonia
M,45,Crew,0,0,Estonia
F,19,Passenger,0,0,Estonia
F,42,Crew,0,0,Estonia
F,37,Passenger,0,0,Estonia
M,21,Passenger,1,0,Estonia
M,58,Passenger,0,0,Estonia
F,59,Passenger,0,0,Estonia
M,21,Crew,1,0,Estonia
M,59,Passenger,0,0,Estonia
F,52,Crew,0,0,Estonia
F,46,Crew,0,0,Estonia
F,38,Crew,0,0,Estonia
M,24,Passenger,0,0,Estonia
F,46,Passenger,0,0,Estonia
F,44,Crew,0,0,Estonia
F,50,Passenger,0,0,Estonia
F,62,Passenger,0,0,Estonia
M,26,Crew,0,0,Estonia
M,17,Passenger,0,0,Estonia
F,47,Crew,0,0,Estonia
F,41,Crew,0,0,Estonia
F,19,Crew,0,0,Estonia
M,67,Passenger,0,0,Estonia
F,22,Crew,0,0,Estonia
F,19,Crew,0,0,Estonia
F,44,Passenger,0,0,Estonia
M,33,Passenger,0,0,Estonia
M,45,Passenger,0,0,Estonia
M,45,Passenger,0,0,Estonia
F,63,Passenger,0,0,Estonia
M,32,Passenger,0,0,Estonia
M,43,Crew,1,0,Estonia
F,21,Crew,0,0,Estonia
M,54,Crew,1,0,Estonia
M,40,Passenger,0,0,Estonia
F,31,Passenger,0,0,Estonia
M,65,Passenger,1,0,Estonia
F,53,Passenger,0,0,Estonia
M,42,Passenger,0,0,Estonia
F,63,Passenger,0,0,Estonia
M,36,Passenger,1,0,Estonia
F,28,Passenger,0,0,Estonia
M,54,Crew,0,0,Estonia
F,51,Passenger,0,0,Estonia
F,25,Crew,1,0,Estonia
F,49,Passenger,0,0,Estonia
M,73,Passenger,0,0,Estonia
F,54,Passenger,0,0,Estonia
F,36,Crew,0,0,Estonia
F,35,Crew,0,0,Estonia
M,21,Crew,0,0,Estonia
F,36,Passenger,0,0,Estonia
F,50,Passenger,0,0,Estonia
M,20,Crew,0,0,Estonia
F,19,Passenger,0,0,Estonia
F,20,Crew,0,0,Estonia
F,53,Passenger,0,1,Estonia
M,55,Passenger,0,1,Estonia
F,63,Passenger,0,0,Estonia
F,45,Crew,0,0,Estonia
M,30,Passenger,0,0,Estonia
F,25,Crew,0,0,Estonia
M,34,Crew,0,0,Estonia
F,25,Crew,1,0,Estonia
F,38,Passenger,0,0,Estonia
M,58,Passenger,0,0,Estonia
F,61,Passenger,0,1,Estonia
M,60,Passenger,0,1,Estonia
F,29,Crew,0,0,Estonia
F,51,Passenger,0,0,Estonia
M,32,Passenger,0,0,Estonia
F,45,Passenger,0,0,Estonia
F,69,Passenger,0,0,Estonia
M,29,Passenger,0,0,Estonia
F,53,Passenger,0,0,Estonia
M,21,Passenger,0,0,Estonia
M,31,Passenger,1,0,Estonia
M,17,Passenger,0,0,Estonia
M,34,Passenger,0,0,Estonia
M,43,Crew,1,0,Estonia
M,61,Passenger,0,0,Estonia
M,29,Passenger,1,0,Estonia
M,61,Passenger,0,0,Estonia
M,45,Crew,1,0,Estonia
F,28,Crew,0,0,Estonia
M,40,Passenger,0,0,Estonia
M,25,Crew,1,0,Estonia
M,30,Crew,0,0,Estonia
M,38,Crew,1,0,Estonia
M,66,Passenger,0,0,Estonia
M,24,Crew,0,0,Estonia
M,18,Passenger,0,0,Estonia
M,52,Passenger,0,0,Estonia
F,50,Passenger,0,0,Estonia
M,72,Passenger,0,0,Estonia
M,60,Passenger,0,1,Estonia
F,66,Passenger,0,1,Estonia
M,66,Passenger,0,1,Estonia
F,64,Passenger,0,1,Estonia
M,67,Passenger,0,1,Estonia
M,49,Passenger,0,0,Estonia
F,71,Passenger,0,0,Estonia
F,45,Crew,1,0,Estonia
M,36,Passenger,1,0,Estonia
F,45,Passenger,0,0,Estonia
F,53,Crew,0,0,Estonia
M,68,Passenger,0,1,Estonia
F,69,Passenger,0,1,Estonia
M,22,Passenger,0,0,Estonia
M,45,Passenger,0,0,Estonia
M,52,Passenger,1,0,Estonia
M,32,Passenger,0,0,Estonia
F,64,Passenger,0,0,Estonia
M,42,Passenger,0,0,Estonia
F,82,Passenger,0,0,Estonia
F,62,Passenger,0,0,Estonia
M,53,Passenger,1,0,Estonia
F,61,Passenger,0,0,Estonia
F,64,Passenger,0,0,Estonia
M,46,Passenger,0,0,Estonia
M,71,Passenger,0,0,Estonia
M,22,Passenger,0,0,Estonia
F,57,Passenger,0,0,Estonia
M,51,Crew,0,0,Estonia
M,44,Passenger,0,0,Estonia
F,69,Passenger,0,1,Estonia
F,34,Passenger,0,0,Estonia
F,65,Passenger,0,1,Estonia
F,43,Passenger,0,0,Estonia
M,71,Passenger,0,0,Estonia
F,62,Passenger,0,1,Estonia
M,63,Passenger,0,1,Estonia
M,52,Passenger,0,0,Estonia
M,21,Passenger,0,0,Estonia
F,65,Passenger,0,1,Estonia
M,20,Passenger,1,1,Estonia
M,76,Passenger,0,0,Estonia
F,23,Passenger,0,1,Estonia
M,40,Crew,0,1,Estonia
M,57,Passenger,0,0,Estonia
F,45,Passenger,0,1,Estonia
M,64,Passenger,0,1,Estonia
M,51,Crew,0,0,Estonia
F,69,Passenger,0,0,Estonia
M,57,Passenger,0,0,Estonia
M,50,Passenger,1,0,Estonia
M,35,Passenger,1,0,Estonia
M,67,Passenger,0,0,Estonia
F,69,Passenger,0,0,Estonia
M,22,Crew,0,0,Estonia
M,29,Passenger,1,0,Estonia
F,35,Crew,0,0,Estonia
M,20,Passenger,0,0,Estonia
M,30,Passenger,0,0,Estonia
M,28,Crew,0,0,Estonia
F,47,Crew,0,0,Estonia
M,27,Crew,0,0,Estonia
F,30,Passenger,0,0,Estonia
F,39,Crew,0,0,Estonia
M,70,Passenger,0,1,Estonia
F,74,Passenger,0,1,Estonia
F,34,Passenger,0,1,Estonia
F,30,Passenger,1,1,Estonia
M,34,Passenger,1,0,Estonia
M,71,Passenger,0,0,Estonia
M,69,Passenger,0,0,Estonia
F,73,Passenger,0,0,Estonia
M,67,Passenger,0,1,Estonia
F,64,Passenger,0,1,Estonia
F,23,Crew,0,0,Estonia
F,56,Passenger,0,0,Estonia
F,34,Passenger,0,0,Estonia
F,45,Passenger,0,0,Estonia
F,67,Passenger,0,0,Estonia
F,33,Passenger,0,0,Estonia
F,27,Passenger,0,0,Estonia
F,37,Crew,0,0,Estonia
F,34,Passenger,0,0,Estonia
M,38,Crew,0,0,Estonia
M,37,Passenger,1,0,Estonia
F,51,Crew,0,0,Estonia
M,47,Passenger,0,0,Estonia
M,38,Passenger,0,0,Estonia
M,30,Crew,1,0,Estonia
M,46,Passenger,0,0,Estonia
F,43,Passenger,0,0,Estonia
M,66,Passenger,0,0,Estonia
M,22,Passenger,0,0,Estonia
F,21,Crew,0,0,Estonia
M,42,Crew,0,0,Estonia
M,43,Crew,1,0,Estonia
M,28,Passenger,0,0,Estonia
M,47,Crew,1,0,Estonia
M,39,Passenger,1,0,Estonia
F,67,Passenger,0,0,Estonia
M,38,Passenger,1,0,Estonia
M,24,Crew,1,0,Estonia
F,71,Passenger,0,0,Estonia
M,39,Passenger,0,0,Estonia
M,39,Passenger,0,0,Estonia
M,71,Passenger,0,0,Estonia
F,69,Passenger,0,0,Estonia
F,50,Passenger,0,0,Estonia
M,42,Passenger,0,0,Estonia
M,43,Crew,0,0,Estonia
M,38,Passenger,0,0,Estonia
M,21,Crew,0,0,Estonia
F,49,Crew,0,0,Estonia
F,21,Crew,0,0,Estonia
M,9,Passenger,0,0,Estonia
F,46,Passenger,0,0,Estonia
F,64,Passenger,0,1,Estonia
M,66,Passenger,0,1,Estonia
M,47,Passenger,0,0,Estonia
M,20,Crew,1,0,Estonia
F,64,Passenger,0,0,Estonia
M,42,Passenger,1,0,Estonia
M,43,Passenger,0,0,Estonia
F,24,Crew,0,1,Estonia
F,24,Crew,0,1,Estonia
M,40,Passenger,0,0,Estonia
F,18,Passenger,0,0,Estonia
M,20,Crew,0,0,Estonia
M,24,Passenger,0,0,Estonia
M,43,Crew,1,0,Estonia
F,23,Crew,0,0,Estonia
M,31,Passenger,0,0,Estonia
M,51,Passenger,0,0,Estonia
M,29,Crew,1,0,Estonia
M,72,Passenger,0,0,Estonia
M,27,Passenger,0,0,Estonia
F,48,Crew,0,0,Estonia
M,34,Crew,0,0,Estonia
M,34,Passenger,0,0,Estonia
F,48,Passenger,0,0,Estonia
F,48,Passenger,1,0,Estonia
M,37,Passenger,1,0,Estonia
M,15,Passenger,1,0,Estonia
M,26,Crew,0,0,Estonia
F,67,Passenger,0,0,Estonia
M,41,Passenger,0,0,Estonia
F,37,Passenger,0,0,Estonia
F,32,Passenger,0,0,Estonia
M,24,Crew,1,0,Estonia
M,41,Passenger,1,0,Estonia
F,35,Passenger,1,0,Estonia
F,50,Passenger,0,0,Estonia
F,47,Passenger,0,0,Estonia
F,64,Passenger,0,1,Estonia
M,68,Passenger,0,1,Estonia
F,57,Passenger,0,0,Estonia
M,59,Passenger,0,0,Estonia
F,51,Passenger,0,0,Estonia
M,60,Passenger,0,0,Estonia
F,18,Passenger,1,0,Estonia
F,40,Passenger,0,0,Estonia
M,18,Passenger,0,0,Estonia
M,60,Passenger,0,0,Estonia
F,46,Passenger,0,0,Estonia
F,51,Passenger,0,0,Estonia
F,63,Passenger,0,0,Estonia
M,38,Passenger,1,0,Estonia
F,49,Passenger,0,0,Estonia
F,67,Passenger,0,0,Estonia
M,27,Passenger,0,0,Estonia
F,0,Passenger,0,1,Estonia
F,2,Passenger,0,1,Estonia
F,62,Passenger,0,0,Estonia
F,45,Passenger,0,0,Estonia
M,48,Passenger,0,1,Estonia
F,45,Passenger,0,1,Estonia
M,51,Passenger,0,0,Estonia
M,64,Passenger,0,0,Estonia
F,56,Passenger,0,0,Estonia
M,73,Passenger,0,0,Estonia
M,67,Passenger,0,0,Estonia
F,54,Passenger,0,0,Estonia
M,48,Passenger,1,0,Estonia
F,24,Passenger,0,0,Estonia
F,51,Passenger,0,0,Estonia
F,60,Passenger,0,0,Estonia
M,34,Passenger,1,0,Estonia
M,77,Passenger,0,0,Estonia
F,87,Passenger,0,0,Estonia
M,42,Passenger,1,0,Estonia
