Survived,Pclass,Sex,Age,SibSp,Parch,Accompagné,Passenger/Crew,Naufrage
0,3,M,22.0,1,0,1,Passenger,Titanic
1,1,F,38.0,1,0,1,Passenger,Titanic
1,3,F,26.0,0,0,0,Passenger,Titanic
1,1,F,35.0,1,0,1,Passenger,Titanic
0,3,M,35.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,54.0,0,0,0,Passenger,Titanic
0,3,M,2.0,3,1,1,Passenger,Titanic
1,3,F,27.0,0,2,1,Passenger,Titanic
1,2,F,14.0,1,0,1,Passenger,Titanic
1,3,F,4.0,1,1,1,Passenger,Titanic
1,1,F,58.0,0,0,0,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
0,3,M,39.0,1,5,1,Passenger,Titanic
0,3,F,14.0,0,0,0,Passenger,Titanic
1,2,F,55.0,0,0,0,Passenger,Titanic
0,3,M,2.0,4,1,1,Passenger,Titanic
1,2,M,31.0,0,0,0,Passenger,Titanic
0,3,F,31.0,1,0,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,2,M,35.0,0,0,0,Passenger,Titanic
1,2,M,34.0,0,0,0,Passenger,Titanic
1,3,F,15.0,0,0,0,Passenger,Titanic
1,1,M,28.0,0,0,0,Passenger,Titanic
0,3,F,8.0,3,1,1,Passenger,Titanic
1,3,F,38.0,1,5,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,19.0,3,2,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,40.0,0,0,0,Passenger,Titanic
1,1,F,38.5,1,0,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,2,M,66.0,0,0,0,Passenger,Titanic
0,1,M,28.0,1,0,1,Passenger,Titanic
0,1,M,42.0,1,0,1,Passenger,Titanic
1,3,M,27.0,0,0,0,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
0,3,F,18.0,2,0,1,Passenger,Titanic
1,3,F,14.0,1,0,1,Passenger,Titanic
0,3,F,40.0,1,0,1,Passenger,Titanic
0,2,F,27.0,1,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,2,F,3.0,1,2,1,Passenger,Titanic
1,3,F,19.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,26.0,1,0,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,3,M,27.0,2,0,1,Passenger,Titanic
0,3,F,18.0,1,0,1,Passenger,Titanic
0,3,M,7.0,4,1,1,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
1,1,F,49.0,1,0,1,Passenger,Titanic
1,2,F,29.0,1,0,1,Passenger,Titanic
0,1,M,65.0,0,1,1,Passenger,Titanic
1,1,M,35.0,0,0,0,Passenger,Titanic
1,2,F,21.0,0,0,0,Passenger,Titanic
0,3,M,28.5,0,0,0,Passenger,Titanic
1,2,F,5.0,1,2,1,Passenger,Titanic
0,3,M,11.0,5,2,1,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
1,1,F,38.0,0,0,0,Passenger,Titanic
0,1,M,45.0,1,0,1,Passenger,Titanic
0,3,M,4.0,3,2,1,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
1,3,M,10.5,1,1,1,Passenger,Titanic
1,2,F,29.0,0,0,0,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
1,3,F,17.0,4,2,1,Passenger,Titanic
0,3,M,26.0,2,0,1,Passenger,Titanic
0,2,M,32.0,0,0,0,Passenger,Titanic
0,3,F,16.0,5,2,1,Passenger,Titanic
0,2,M,21.0,0,0,0,Passenger,Titanic
0,3,M,26.0,1,0,1,Passenger,Titanic
1,3,M,32.0,0,0,0,Passenger,Titanic
0,3,M,25.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,2,M,0.83,0,2,1,Passenger,Titanic
1,3,F,30.0,0,0,0,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
1,3,M,29.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,1,M,28.0,0,0,0,Passenger,Titanic
1,2,F,17.0,0,0,0,Passenger,Titanic
1,3,F,33.0,3,0,1,Passenger,Titanic
0,3,M,16.0,1,3,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,F,23.0,3,2,1,Passenger,Titanic
0,3,M,24.0,0,0,0,Passenger,Titanic
0,3,M,29.0,0,0,0,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
0,1,M,46.0,1,0,1,Passenger,Titanic
0,3,M,26.0,1,2,1,Passenger,Titanic
0,3,M,59.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,71.0,0,0,0,Passenger,Titanic
1,1,M,23.0,0,1,1,Passenger,Titanic
1,2,F,34.0,0,1,1,Passenger,Titanic
0,2,M,34.0,1,0,1,Passenger,Titanic
0,3,F,28.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,21.0,0,1,1,Passenger,Titanic
0,3,M,33.0,0,0,0,Passenger,Titanic
0,3,M,37.0,2,0,1,Passenger,Titanic
0,3,M,28.0,0,0,0,Passenger,Titanic
1,3,F,21.0,0,0,0,Passenger,Titanic
1,3,M,27.0,0,0,0,Passenger,Titanic
0,3,M,38.0,0,0,0,Passenger,Titanic
1,3,F,21.5,1,0,1,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,F,14.5,1,0,1,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
0,3,F,20.0,1,0,1,Passenger,Titanic
0,3,F,17.0,0,0,0,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
0,3,M,70.5,0,0,0,Passenger,Titanic
0,2,M,29.0,1,0,1,Passenger,Titanic
0,1,M,24.0,0,1,1,Passenger,Titanic
0,3,F,2.0,4,2,1,Passenger,Titanic
0,2,M,21.0,2,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,2,M,32.5,1,0,1,Passenger,Titanic
1,2,F,32.5,0,0,0,Passenger,Titanic
0,1,M,54.0,0,1,1,Passenger,Titanic
1,3,M,12.0,1,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,M,24.0,0,0,0,Passenger,Titanic
1,3,F,21.5,1,1,1,Passenger,Titanic
0,3,M,45.0,0,0,0,Passenger,Titanic
0,3,M,33.0,0,0,0,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
0,3,F,47.0,1,0,1,Passenger,Titanic
1,2,F,29.0,1,0,1,Passenger,Titanic
0,2,M,25.0,0,0,0,Passenger,Titanic
0,2,M,23.0,0,0,0,Passenger,Titanic
1,1,F,19.0,0,2,1,Passenger,Titanic
0,1,M,37.0,1,0,1,Passenger,Titanic
0,3,M,16.0,0,0,0,Passenger,Titanic
0,1,M,24.0,0,0,0,Passenger,Titanic
0,3,F,24.0,0,2,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
1,3,F,24.0,1,0,1,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
0,2,M,18.0,0,0,0,Passenger,Titanic
0,2,M,19.0,1,1,1,Passenger,Titanic
1,3,M,27.0,0,0,0,Passenger,Titanic
0,3,F,9.0,2,2,1,Passenger,Titanic
0,2,M,36.5,0,2,1,Passenger,Titanic
0,2,M,42.0,0,0,0,Passenger,Titanic
0,2,M,51.0,0,0,0,Passenger,Titanic
1,1,F,22.0,1,0,1,Passenger,Titanic
0,3,M,55.5,0,0,0,Passenger,Titanic
0,3,M,40.5,0,2,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,51.0,0,1,1,Passenger,Titanic
1,3,F,16.0,0,0,0,Passenger,Titanic
0,3,M,30.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,,8,2,1,Passenger,Titanic
0,3,M,44.0,0,1,1,Passenger,Titanic
1,2,F,40.0,0,0,0,Passenger,Titanic
0,3,M,26.0,0,0,0,Passenger,Titanic
0,3,M,17.0,0,0,0,Passenger,Titanic
0,3,M,1.0,4,1,1,Passenger,Titanic
1,3,M,9.0,0,2,1,Passenger,Titanic
1,1,F,31.0,0,1,1,Passenger,Titanic
0,3,F,45.0,1,4,1,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,M,28.0,0,0,0,Passenger,Titanic
0,1,M,61.0,0,0,0,Passenger,Titanic
0,3,M,4.0,4,1,1,Passenger,Titanic
1,3,F,1.0,1,1,1,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
0,1,M,56.0,0,0,0,Passenger,Titanic
0,3,M,18.0,1,1,1,Passenger,Titanic
0,3,M,4.0,3,1,1,Passenger,Titanic
0,1,F,50.0,0,0,0,Passenger,Titanic
0,2,M,30.0,0,0,0,Passenger,Titanic
0,3,M,36.0,0,0,0,Passenger,Titanic
0,3,F,,8,2,1,Passenger,Titanic
0,2,M,30.0,0,0,0,Passenger,Titanic
0,3,M,9.0,4,2,1,Passenger,Titanic
1,2,M,1.0,2,1,1,Passenger,Titanic
1,3,F,4.0,0,2,1,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
1,3,F,21.5,1,0,1,Passenger,Titanic
1,1,M,45.0,0,0,0,Passenger,Titanic
0,3,M,40.0,1,1,1,Passenger,Titanic
0,3,M,36.0,0,0,0,Passenger,Titanic
1,2,F,32.0,0,0,0,Passenger,Titanic
0,2,M,19.0,0,0,0,Passenger,Titanic
1,3,F,19.0,1,0,1,Passenger,Titanic
1,2,M,3.0,1,1,1,Passenger,Titanic
1,1,F,44.0,0,0,0,Passenger,Titanic
1,1,F,58.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,42.0,0,1,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,2,F,24.0,0,0,0,Passenger,Titanic
0,3,M,28.0,0,0,0,Passenger,Titanic
0,3,M,,8,2,1,Passenger,Titanic
0,3,M,34.0,0,0,0,Passenger,Titanic
0,3,M,45.5,0,0,0,Passenger,Titanic
1,3,M,18.0,0,0,0,Passenger,Titanic
0,3,F,2.0,0,1,1,Passenger,Titanic
0,3,M,32.0,1,0,1,Passenger,Titanic
1,3,M,26.0,0,0,0,Passenger,Titanic
1,3,F,16.0,0,0,0,Passenger,Titanic
1,1,M,40.0,0,0,0,Passenger,Titanic
0,3,M,24.0,0,0,0,Passenger,Titanic
1,2,F,35.0,0,0,0,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
0,2,M,30.0,0,0,0,Passenger,Titanic
0,3,M,26.0,1,0,1,Passenger,Titanic
1,1,F,31.0,1,0,1,Passenger,Titanic
1,3,F,27.0,0,0,0,Passenger,Titanic
0,2,M,42.0,1,0,1,Passenger,Titanic
1,1,F,32.0,0,0,0,Passenger,Titanic
0,2,M,30.0,0,0,0,Passenger,Titanic
1,3,M,16.0,0,0,0,Passenger,Titanic
0,2,M,27.0,0,0,0,Passenger,Titanic
0,3,M,51.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,M,38.0,1,0,1,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
1,2,M,19.0,0,0,0,Passenger,Titanic
0,3,M,20.5,0,0,0,Passenger,Titanic
0,2,M,18.0,0,0,0,Passenger,Titanic
0,3,F,5.5,3,1,1,Passenger,Titanic
1,1,F,35.0,1,0,1,Passenger,Titanic
0,3,M,29.0,0,0,0,Passenger,Titanic
0,2,M,59.0,0,0,0,Passenger,Titanic
1,3,F,5.0,4,2,1,Passenger,Titanic
0,2,M,24.0,0,0,0,Passenger,Titanic
0,3,F,24.0,0,0,0,Passenger,Titanic
0,2,M,44.0,1,0,1,Passenger,Titanic
1,2,F,8.0,0,2,1,Passenger,Titanic
0,2,M,19.0,0,0,0,Passenger,Titanic
0,2,M,33.0,0,0,0,Passenger,Titanic
0,3,F,29.5,1,0,1,Passenger,Titanic
1,3,F,21.5,1,0,1,Passenger,Titanic
0,2,M,29.0,0,0,0,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
0,3,M,30.0,0,0,0,Passenger,Titanic
0,1,M,44.0,2,0,1,Passenger,Titanic
0,3,F,25.0,0,0,0,Passenger,Titanic
1,2,F,24.0,0,2,1,Passenger,Titanic
1,1,M,37.0,1,1,1,Passenger,Titanic
0,2,M,54.0,1,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,F,29.0,1,1,1,Passenger,Titanic
0,1,M,62.0,0,0,0,Passenger,Titanic
0,3,M,30.0,1,0,1,Passenger,Titanic
0,3,F,41.0,0,2,1,Passenger,Titanic
1,3,F,29.0,0,2,1,Passenger,Titanic
1,1,F,31.0,0,0,0,Passenger,Titanic
1,1,F,30.0,0,0,0,Passenger,Titanic
1,1,F,35.0,0,0,0,Passenger,Titanic
1,2,F,50.0,0,1,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,M,3.0,4,2,1,Passenger,Titanic
0,1,M,52.0,1,1,1,Passenger,Titanic
0,1,M,40.0,0,0,0,Passenger,Titanic
0,3,F,24.0,0,0,0,Passenger,Titanic
0,2,M,36.0,0,0,0,Passenger,Titanic
0,3,M,16.0,4,1,1,Passenger,Titanic
1,3,M,25.0,1,0,1,Passenger,Titanic
1,1,F,58.0,0,1,1,Passenger,Titanic
1,1,F,35.0,0,0,0,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
1,3,M,25.0,0,0,0,Passenger,Titanic
1,2,F,41.0,0,1,1,Passenger,Titanic
0,1,M,37.0,0,1,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
1,1,F,63.0,1,0,1,Passenger,Titanic
0,3,F,45.0,0,0,0,Passenger,Titanic
0,2,M,30.0,0,0,0,Passenger,Titanic
0,3,M,7.0,4,1,1,Passenger,Titanic
1,3,F,35.0,1,1,1,Passenger,Titanic
0,3,M,65.0,0,0,0,Passenger,Titanic
0,3,M,28.0,0,0,0,Passenger,Titanic
0,3,M,16.0,0,0,0,Passenger,Titanic
1,3,M,19.0,0,0,0,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,M,33.0,0,0,0,Passenger,Titanic
1,3,M,30.0,0,0,0,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
1,2,M,42.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
1,1,F,26.0,0,0,0,Passenger,Titanic
1,1,F,19.0,1,0,1,Passenger,Titanic
0,2,M,36.0,0,0,0,Passenger,Titanic
0,3,F,24.0,0,0,0,Passenger,Titanic
0,3,M,24.0,0,0,0,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,M,23.5,0,0,0,Passenger,Titanic
0,1,F,2.0,1,2,1,Passenger,Titanic
1,1,M,35.0,0,0,0,Passenger,Titanic
1,1,F,50.0,0,1,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
1,3,M,,2,0,1,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
1,2,F,30.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,M,0.92,1,2,1,Passenger,Titanic
1,1,F,31.0,0,0,0,Passenger,Titanic
1,1,F,17.0,1,0,1,Passenger,Titanic
0,2,M,30.0,1,0,1,Passenger,Titanic
1,1,F,30.0,0,0,0,Passenger,Titanic
1,1,F,24.0,0,0,0,Passenger,Titanic
1,1,F,18.0,2,2,1,Passenger,Titanic
0,2,F,26.0,1,1,1,Passenger,Titanic
0,3,M,28.0,0,0,0,Passenger,Titanic
0,2,M,43.0,1,1,1,Passenger,Titanic
1,3,F,26.0,0,0,0,Passenger,Titanic
1,2,F,24.0,1,0,1,Passenger,Titanic
0,2,M,54.0,0,0,0,Passenger,Titanic
1,1,F,31.0,0,2,1,Passenger,Titanic
1,1,F,40.0,1,1,1,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
0,3,M,27.0,0,0,0,Passenger,Titanic
1,2,F,30.0,0,0,0,Passenger,Titanic
1,2,F,22.0,1,1,1,Passenger,Titanic
0,3,M,,8,2,1,Passenger,Titanic
1,1,F,36.0,0,0,0,Passenger,Titanic
0,3,M,61.0,0,0,0,Passenger,Titanic
1,2,F,36.0,0,0,0,Passenger,Titanic
1,3,F,31.0,1,1,1,Passenger,Titanic
1,1,F,16.0,0,1,1,Passenger,Titanic
1,3,F,0.75,2,0,1,Passenger,Titanic
0,1,M,45.5,0,0,0,Passenger,Titanic
0,1,M,38.0,0,1,1,Passenger,Titanic
0,3,M,16.0,2,0,1,Passenger,Titanic
1,1,F,38.5,1,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,29.0,1,0,1,Passenger,Titanic
1,1,F,41.0,0,0,0,Passenger,Titanic
1,3,M,45.0,0,0,0,Passenger,Titanic
0,1,M,45.0,0,0,0,Passenger,Titanic
1,2,M,2.0,1,1,1,Passenger,Titanic
1,1,F,24.0,3,2,1,Passenger,Titanic
0,2,M,28.0,0,0,0,Passenger,Titanic
0,2,M,25.0,0,0,0,Passenger,Titanic
0,2,M,36.0,0,0,0,Passenger,Titanic
1,2,F,24.0,0,0,0,Passenger,Titanic
1,2,F,40.0,0,0,0,Passenger,Titanic
1,3,F,21.5,1,0,1,Passenger,Titanic
1,3,M,3.0,1,1,1,Passenger,Titanic
0,3,M,42.0,0,0,0,Passenger,Titanic
0,3,M,23.0,0,0,0,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,M,15.0,1,1,1,Passenger,Titanic
0,3,M,25.0,1,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,28.0,0,0,0,Passenger,Titanic
1,1,F,22.0,0,1,1,Passenger,Titanic
0,2,F,38.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,3,M,40.0,1,4,1,Passenger,Titanic
0,2,M,29.0,1,0,1,Passenger,Titanic
0,3,F,45.0,0,1,1,Passenger,Titanic
0,3,M,35.0,0,0,0,Passenger,Titanic
0,3,M,26.0,1,0,1,Passenger,Titanic
0,3,M,30.0,0,0,0,Passenger,Titanic
1,1,F,60.0,1,0,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
1,1,F,24.0,0,0,0,Passenger,Titanic
1,1,M,25.0,1,0,1,Passenger,Titanic
0,3,M,18.0,1,0,1,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
0,1,M,22.0,0,0,0,Passenger,Titanic
0,3,F,3.0,3,1,1,Passenger,Titanic
1,1,F,38.5,1,0,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,1,M,27.0,0,2,1,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
1,1,F,42.0,0,0,0,Passenger,Titanic
1,3,F,1.0,0,2,1,Passenger,Titanic
0,3,M,32.0,0,0,0,Passenger,Titanic
1,1,F,35.0,1,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,2,M,18.0,0,0,0,Passenger,Titanic
0,3,M,1.0,5,2,1,Passenger,Titanic
1,2,F,36.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,2,F,17.0,0,0,0,Passenger,Titanic
1,1,M,36.0,1,2,1,Passenger,Titanic
1,3,M,21.0,0,0,0,Passenger,Titanic
0,3,M,28.0,2,0,1,Passenger,Titanic
1,1,F,23.0,1,0,1,Passenger,Titanic
1,3,F,24.0,0,2,1,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
0,3,F,31.0,0,0,0,Passenger,Titanic
0,2,M,46.0,0,0,0,Passenger,Titanic
0,2,M,23.0,0,0,0,Passenger,Titanic
1,2,F,28.0,0,0,0,Passenger,Titanic
1,3,M,39.0,0,0,0,Passenger,Titanic
0,3,M,26.0,0,0,0,Passenger,Titanic
0,3,F,21.0,1,0,1,Passenger,Titanic
0,3,M,28.0,1,0,1,Passenger,Titanic
0,3,F,20.0,0,0,0,Passenger,Titanic
0,2,M,34.0,1,0,1,Passenger,Titanic
0,3,M,51.0,0,0,0,Passenger,Titanic
1,2,M,3.0,1,1,1,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
0,3,F,5.5,3,1,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,F,33.0,1,0,1,Passenger,Titanic
0,2,M,30.0,0,0,0,Passenger,Titanic
1,3,M,44.0,0,0,0,Passenger,Titanic
0,3,F,24.0,0,0,0,Passenger,Titanic
1,2,F,34.0,1,1,1,Passenger,Titanic
1,2,F,18.0,0,2,1,Passenger,Titanic
0,2,M,30.0,0,0,0,Passenger,Titanic
0,3,F,10.0,0,2,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
0,3,M,29.0,0,0,0,Passenger,Titanic
0,3,F,28.0,1,1,1,Passenger,Titanic
0,3,M,18.0,1,1,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,2,F,28.0,1,0,1,Passenger,Titanic
1,2,F,19.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,M,32.0,0,0,0,Passenger,Titanic
1,1,M,28.0,0,0,0,Passenger,Titanic
1,3,F,21.5,1,0,1,Passenger,Titanic
1,2,F,42.0,1,0,1,Passenger,Titanic
0,3,M,17.0,0,0,0,Passenger,Titanic
0,1,M,50.0,1,0,1,Passenger,Titanic
1,1,F,14.0,1,2,1,Passenger,Titanic
0,3,F,21.0,2,2,1,Passenger,Titanic
1,2,F,24.0,2,3,1,Passenger,Titanic
0,1,M,64.0,1,4,1,Passenger,Titanic
0,2,M,31.0,0,0,0,Passenger,Titanic
1,2,F,45.0,1,1,1,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
0,3,M,25.0,1,0,1,Passenger,Titanic
1,2,F,28.0,0,0,0,Passenger,Titanic
